industry_id,industry_code,industry_description
241,327390,Other Concrete Product Manufacturing
242,327410,Lime Manufacturing
243,327420,Gypsum Product Manufacturing
244,327910,Abrasive Product Manufacturing
245,327991,Cut Stone and Stone Product Manufacturing
246,327992,Ground or Treated Mineral and Earth Manufacturing
247,327993,Mineral Wool Manufacturing
248,327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing
249,331110,Iron and Steel Mills and Ferroalloy Manufacturing
250,331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel
251,331221,Rolled Steel Shape Manufacturing
252,331222,Steel Wire Drawing
253,331313,Alumina Refining and Primary Aluminum Production
254,331314,Secondary Smelting and Alloying of Aluminum
255,331315,"Aluminum Sheet, Plate, and Foil Manufacturing"
256,331318,"Other Aluminum Rolling, Drawing, and Extruding"
257,331410,Nonferrous Metal (except Aluminum) Smelting and Refining
258,331420,"Copper Rolling, Drawing, Extruding, and Alloying"
259,331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding"
260,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)"
261,331511,Iron Foundries
262,331512,Steel Investment Foundries
263,331513,Steel Foundries (except Investment)
264,331523,Nonferrous Metal Die-Casting Foundries
265,331524,Aluminum Foundries (except Die-Casting)
266,331529,Other Nonferrous Metal Foundries (except Die-Casting)
267,332111,Iron and Steel Forging
268,332112,Nonferrous Forging
269,332114,Custom Roll Forming
270,332117,Powder Metallurgy Part Manufacturing
271,332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)"
272,332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing"
273,332216,Saw Blade and Handtool Manufacturing
274,332311,Prefabricated Metal Building and Component Manufacturing
275,332312,Fabricated Structural Metal Manufacturing
276,332313,Plate Work Manufacturing
277,332321,Metal Window and Door Manufacturing
278,332322,Sheet Metal Work Manufacturing
279,332323,Ornamental and Architectural Metal Work Manufacturing
280,332410,Power Boiler and Heat Exchanger Manufacturing
281,332420,Metal Tank (Heavy Gauge) Manufacturing
282,332431,Metal Can Manufacturing
283,332439,Other Metal Container Manufacturing
284,332510,Hardware Manufacturing
285,332613,Spring Manufacturing
286,332618,Other Fabricated Wire Product Manufacturing
287,332710,Machine Shops
288,332721,Precision Turned Product Manufacturing
