cbsa_geoid,cbsa_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
31820,"Manitowoc, WI Micro Area",184,-0.28885325666093,47.24
48140,"Wausau, WI Metro Area",217,-0.40304730908383146,42.05
43020,"Shawano, WI Micro Area",163,-0.5944829374231636,31.89
33340,"Milwaukee-Waukesha, WI Metro Area",322,1.4646632357380396,90.7
43890,"Sparta, WI Micro Area",121,-0.9237948912992993,16
44620,"Stevens Point-Plover, WI Micro Area",171,-0.05365137079267305,57.08
39540,"Racine-Mount Pleasant, WI Metro Area",228,0.19479287454168984,65.73
27500,"Janesville-Beloit, WI Metro Area",216,-0.21021524684380183,51.14
12660,"Baraboo, WI Micro Area",162,0.3024822259241069,68.86
43100,"Sheboygan, WI Metro Area",165,-0.21203102041994523,51.03
48580,"Whitewater-Elkhorn, WI Micro Area",214,0.3176493645244768,69.51
36780,"Oshkosh-Neenah, WI Metro Area",177,0.36800477802186315,70.81
49220,"Wisconsin Rapids-Marshfield, WI Micro Area",157,-0.8763134979587949,17.95
29660,"Laramie, WY Micro Area",125,0.04205980819115626,61.19
23940,"Gillette, WY Micro Area",139,-1.0231837640088328,10.7
40180,"Riverton, WY Micro Area",165,-0.15981613728342928,52.97
16940,"Cheyenne, WY Metro Area",181,0.0448601904727351,61.3
16220,"Casper, WY Metro Area",244,-0.02536050482293415,58.49
17650,"Cody, WY Micro Area",192,-0.0017930149635834803,59.78
43260,"Sheridan, WY Micro Area",209,0.6842187246520269,78.27
40540,"Rock Springs, WY Micro Area",140,-0.9837878275190991,12.65
