commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
156,"Creston, IA",137,-1.2723633080491012,7.48
157,"Platteville, WI",168,-1.0819493952066153,12.93
158,"Ottumwa, IA",198,-0.6882625676911065,25.85
159,"Denison, IA",147,-0.9554777784217989,16.16
160,"Cedar Rapids, IA",221,0.34852786880560743,69.39
161,"Waterloo, IA",208,-0.5491954312974188,32.48
162,"Ames, IA",157,-0.3251320558389216,40.82
163,"Storm Lake, IA",131,-1.4215963240455916,4.76
164,"Fort Dodge, IA",167,-0.8583007176004306,19.39
165,"Mason, IA",192,-0.7217296758718846,24.66
166,"Decorah, IA",137,-0.7519368371706224,23.13
167,"Osceola, IA",121,-1.229844743654905,8.5
168,"Spirit Lake, IA",177,-0.7277101132200192,23.81
169,"Iowa Falls, IA",115,-1.2941579726671761,7.14
170,"Omaha, NE-IA",271,1.082989280973571,85.37
171,"Sioux Center, IA",149,-0.810847107126516,21.09
172,"Sioux, IA-NE-SD",197,-0.5286490168639563,33.16
173,"Parsons, KS",138,-1.0628890982249641,13.61
174,"Kansas, MO-KS",320,1.5004227411061797,92.35
175,"St. Joseph, MO-KS",193,-0.4171525990627255,37.93
176,"Pratt, KS",90,-1.8616231596766015,0.68
177,"Great Bend, KS",137,-0.9268459273154899,17.18
178,"Joplin, MO",239,-0.21973038559094746,47.11
179,"Falls, NE",117,-1.4933124726176892,3.91
180,"Wichita, KS",256,0.3329585888835661,68.37
181,"Emporia, KS",126,-1.1569822362237012,9.86
182,"Bartlesville, OK",164,-0.8706439147535958,18.71
183,"Atwood, KS",77,-1.5475822860713995,2.89
184,"Dodge, KS",121,-0.9263580780081276,17.35
185,"Manhattan, KS",142,-0.36979955619836025,39.29
186,"Concordia, KS",130,-1.144336819469233,10.54
187,"Norton, KS",98,-1.489583696309849,4.08
188,"Topeka, KS",192,0.7085005972764379,79.25
189,"Hays, KS",161,-0.9540201359607611,16.5
190,"Salina, KS",158,-0.43132967979776804,37.59
191,"Garden, KS",132,-1.416462161211536,4.93
192,"Colby, KS",104,-1.5570036658329864,2.55
193,"Hutchinson, KS",201,-0.4990270327020157,34.18
194,"Liberal, KS",101,-1.6225030295120058,2.04
195,"Beloit, KS",94,-1.7832692295528687,0.85
196,"Scott City, KS",97,-1.678852356729294,1.36
197,"Hugoton, KS",69,-2.122792885516757,0.17
198,"Goodland, KS",108,-1.1493310063596387,10.2
199,"Bardstown, KY",182,-0.6510623763427484,26.87
200,"Bowling Green, KY",254,-0.0791510392088281,53.06
201,"Lexington-Fayette, KY",236,1.0768705509612917,85.2
202,"Glasgow, KY",181,-0.48026041337845754,35.37
203,"Mount Sterling, KY",163,-0.5920078047510169,29.42
204,"Middlesborough, KY-TN",135,-0.5225723919326479,33.33
205,"Cincinnati, OH-KY",334,1.4149923967679443,91.33
206,"Huntington, WV-KY-OH",223,-0.11391264738836672,51.87
207,"Danville, KY",182,-0.3112444146554867,42.35
208,"Maysville, KY-OH",159,-0.5608735934408067,31.29
209,"Hazard, KY",121,-0.5944252460308729,29.08
210,"Elizabethtown--Radcliff, KY",171,-0.30601553117107494,43.37
211,"Henderson, KY",200,-0.7571807949780447,22.96
212,"Clarksville, TN-KY",172,0.17428188575098527,62.41
213,"Richmond, KY",194,-0.2197508829773102,46.94
214,"Somerset, KY",196,-0.32276528862732495,40.99
215,"Owensboro, KY",189,-0.3108131121867601,42.52
216,"Pikeville, KY",151,-0.5605100535801077,31.46
217,"Harlan, KY",86,-0.6240902038197172,28.06
218,"Lafayette, LA",271,0.10071029057636734,59.18
219,"Lake Charles, LA",239,-0.15006351959222025,50.17
220,"New Orleans, LA",311,1.268447981962635,88.78
221,"Houma, LA",183,-0.16431960696446934,48.3
222,"Alexandria, LA",188,-0.46698222150373425,35.88
223,"Monroe, LA",225,-0.15549076921459548,49.49
224,"Shreveport, LA",240,-0.12879072240007663,51.02
225,"Natchez, MS-LA",174,-0.7276732167619954,23.98
226,"Baton Rouge, LA",238,0.422475804502242,71.43
227,"Tallulah, LA",134,-1.1276238885674457,11.22
228,"Portland, ME",283,1.0869969522455476,85.54
229,"Presque Isle, ME",146,-0.6468080479255394,27.04
