"csa_geoid","csa_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"522","Springfield-Jacksonville-Lincoln, IL CSA",143,-0.284391134935474,48.62,"17021|17107|17129|17137|17167|17171","17","Illinois",6,1
"427","Peoria-Canton, IL CSA",203,-0.586647568587823,32.04,"17057|17123|17143|17175|17179|17203","17","Illinois",6,1
"161","Burlington-Fort Madison, IA-IL CSA",180,-1.18071375176562,6.08,"17071|19057|19111","17|19","Illinois|Iowa",3,2
"209","Davenport-Moline, IA-IL CSA",257,-1.25822635985109,3.87,"17073|17131|17161|19045|19139|19163","17|19","Illinois|Iowa",6,2
"166","Carbondale-Marion-Herrin, IL CSA",152,-0.532530434140113,33.15,"17077|17199","17","Illinois",2,1
"221","Dixon-Sterling, IL CSA",173,-1.3517694586923,2.21,"17103|17195","17","Illinois",2,1
"145","Bloomington-Pontiac, IL CSA",146,-0.604749864562735,30.39,"17105|17113","17","Illinois",2,1
"424","Paducah-Mayfield, KY-IL CSA",213,-0.396299791667222,41.44,"17127|21007|21039|21083|21139|21145","17|21","Illinois|Kentucky",6,2
"258","Fort Wayne-Huntington-Auburn, IN CSA",313,-1.34654270832673,2.76,"18001|18003|18033|18069|18113|18151|18179|18183","18","Indiana",8,1
"294","Indianapolis-Carmel-Muncie, IN CSA",316,-0.492517045936356,37.57,"18005|18011|18013|18031|18035|18057|18059|18063|18065|18067|18071|18081|18095|18097|18103|18107|18109|18133|18145|18159","18","Indiana",20,1
"320","Lafayette-West Lafayette-Frankfort, IN CSA",204,-1.10266595924158,7.73,"18007|18015|18023|18157|18171|18181","18","Indiana",6,1
"350","Louisville/Jefferson County--Elizabethtown, KY-IN CSA",311,-0.240616753732321,51.93,"18019|18043|18061|18175|21029|21093|21103|21111|21123|21163|21179|21185|21211|21215","18|21","Indiana|Kentucky",14,2
"178","Cincinnati-Wilmington, OH-KY-IN CSA",335,-0.433827393395971,39.78,"18029|18047|18115|21015|21023|21037|21077|21081|21117|21191|39015|39017|39025|39027|39061|39165","18|21|39","Indiana|Kentucky|Ohio",16,3
"515","South Bend-Elkhart-Mishawaka, IN-MI CSA",293,-1.30452564505559,3.31,"18039|18085|18099|18141|26021|26027","18|26","Indiana|Michigan",6,2
"458","Richmond-Connersville, IN CSA",170,-1.4566261950975,1.1,"18041|18177","18","Indiana",2,1
"144","Bloomington-Bedford, IN CSA",164,-0.0192379885616746,59.12,"18093|18105|18119","18","Indiana",3,1
"241","Evansville-Henderson, IN-KY CSA",258,-0.917343881113066,12.71,"18129|18163|18173|21101|21233","18|21","Indiana|Kentucky",5,2
"168","Cedar Rapids-Iowa City, IA CSA",204,-0.59249881345069,31.49,"19011|19103|19105|19113|19183","19","Iowa",5,1
"218","Des Moines-West Des Moines-Ames, IA CSA",253,-0.0375824126203996,56.91,"19015|19049|19077|19099|19121|19123|19125|19153|19169|19181","19","Iowa",10,1
"517","Spencer-Spirit Lake, IA CSA",175,-0.536970500931671,32.6,"19041|19059","19","Iowa",2,1
"420","Omaha-Fremont, NE-IA CSA",269,0.446450936090871,77.35,"19085|19129|19155|31025|31053|31055|31153|31155|31177","19|31","Iowa|Nebraska",9,2
"512","Sioux City-Le Mars, IA-NE-SD CSA",195,-1.09960962936971,8.84,"19149|19193|31043|46127","19|31|46","Iowa|Nebraska|South Dakota",4,3
"312","Kansas City-Overland Park-Kansas City, MO-KS CSA",326,0.250633519161999,69.61,"20005|20043|20045|20059|20091|20103|20107|20121|20209|29003|29013|29021|29025|29037|29047|29049|29063|29095|29101|29107|29165|29177","20|29","Kansas|Missouri",22,2
"556","Wichita-Arkansas City-Winfield, KS CSA",254,-0.352137480363424,43.65,"20015|20035|20079|20173|20191","20","Kansas",5,1
"309","Joplin-Miami, MO-OK-KS CSA",242,-1.09969332565684,8.29,"20021|29097|29145|40115","20|29|40","Kansas|Missouri|Oklahoma",4,3
"150","Bowling Green-Glasgow-Franklin, KY CSA",242,-0.955218031195292,12.15,"21003|21009|21031|21061|21169|21213|21227","21","Kentucky",7,1
"336","Lexington-Fayette--Richmond--Frankfort, KY CSA",239,-0.38000492401177,41.99,"21005|21011|21017|21049|21065|21067|21073|21113|21151|21165|21173|21203|21209|21239","21","Kentucky",14,1
"371","Middlesborough-Corbin, KY CSA",181,-0.764872726382479,23.2,"21013|21051|21121|21125|21235","21","Kentucky",5,1
"170","Charleston-Huntington-Ashland, WV-OH-KY CSA",231,-0.604523295064501,30.94,"21019|21043|21089|21127|39087|39145|54005|54011|54015|54039|54079|54099","21|39|54","Kentucky|Ohio|West Virginia",12,3
"318","Lafayette-New Iberia-Opelousas, LA CSA",270,-0.0261837187189861,58.01,"22001|22045|22055|22097|22099|22113","22","Louisiana",6,1
"132","Baton Rouge-Hammond, LA CSA",249,0.108831931728363,64.64,"22005|22007|22033|22037|22047|22063|22077|22091|22105|22121|22125","22","Louisiana",11,1
"324","Lake Charles-DeRidder, LA CSA",217,-0.140963145428694,54.14,"22011|22019|22023|22053","22","Louisiana",4,1
"508","Shreveport-Bossier City-Minden, LA CSA",247,-0.27383348286039,49.17,"22015|22017|22031|22119","22","Louisiana",4,1
"406","New Orleans-Metairie-Slidell, LA-MS CSA",298,1.36186429425501,89.5,"22051|22071|22075|22087|22089|22093|22095|22103|22117|28109","22|28","Louisiana|Mississippi",10,2
"384","Monroe-Ruston, LA CSA",232,-0.45280996915281,38.67,"22061|22067|22073|22083|22111","22","Louisiana",5,1
"438","Portland-Lewiston-South Portland, ME CSA",280,0.773932052970019,81.77,"23001|23005|23023|23031","23","Maine",4,1
"480","Salisbury-Ocean Pines, MD CSA",216,0.548638814312365,78.45,"24039|24045|24047","24","Maryland",3,1
"148","Boston-Worcester-Providence, MA-RI-NH CSA",330,1.79916290583948,93.92,"25001|25005|25009|25017|25021|25023|25025|25027|33001|33011|33013|33015|33017|44001|44003|44005|44007|44009","25|33|44","Massachusetts|New Hampshire|Rhode Island",18,3
