"commuting_zone_geoid","commuting_zone_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"585","Kahului--Wailuku, HI",203,1.75912336943096,94.56,"15005|15009","15","Hawaii",2,1
"108","Boise, ID",321,1.05946947571616,84.86,"16001|16015|16027|16039|16045|16073|16075|16087|41045","16|41","Idaho|Oregon",9,2
"109","McCall, ID",152,0.573547632362321,74.83,"16003|16085","16","Idaho",2,1
"110","Pocatello, ID",185,-0.138878294702413,50.68,"16005|16011|16023|16033|16043|16065|16077","16","Idaho",7,1
"111","Evanston, WY",188,-0.544081417780865,32.65,"16007|16029|49033|56023|56041","16|49|56","Idaho|Utah|Wyoming",5,3
"112","Coeur d'Alene, ID",280,0.750130813610897,79.93,"16009|16055|16079","16","Idaho",3,1
"113","Twin Falls, ID",230,0.038938918828667,57.48,"16013|16025|16047|16053|16063|16083","16","Idaho",6,1
"114","Spokane, WA",287,0.451380609047962,72.62,"16017|16021|53019|53043|53047|53051|53063|53065","16|53","Idaho|Washington",8,2
"115","Idaho Falls, ID",268,0.64861539936656,77.38,"16019|16051","16","Idaho",2,1
"116","Burley, ID",144,-1.08679590464083,12.59,"16031|16067","16","Idaho",2,1
"117","Lewiston, ID-WA",183,-0.310784221536759,42.69,"16035|16049|16057|16061|16069|53003|53023|53075","16|53","Idaho|Washington",8,2
"118","Salmon, ID",148,-0.056063357714666,53.91,"16037|16059","16","Idaho",2,1
"119","Logan, UT",215,0.288306864741786,67.01,"16041|16071|49003|49005","16|49","Idaho|Utah",4,2
"120","Jackson, WY",186,1.27306449932214,88.95,"16081|56035|56039","16|56","Idaho|Wyoming",3,2
"121","Quincy, IL",204,-0.338993208731321,40.31,"17001|17009|17149|29111|29127|29163|29173","17|29","Illinois|Missouri",7,2
"122","Marion--Herrin, IL",180,-0.56169703103118,30.95,"17003|17055|17077|17087|17145|17153|17157|17181|17199","17","Illinois",9,1
"123","Granite City, IL",224,-0.174258966490487,47.96,"17005|17013|17051|17083|17117|17119|17135","17","Illinois",7,1
"124","Rockford, IL",261,0.265401437066701,65.99,"17007|17015|17103|17141|17177|17195|17201","17","Illinois",7,1
"125","Peoria, IL",247,0.216627781186109,63.61,"17011|17057|17099|17123|17143|17155|17179|17203","17","Illinois",8,1
"126","Springfield, IL",152,0.0627313135711067,58.16,"17017|17061|17107|17109|17125|17129|17137|17167|17169|17171","17","Illinois",10,1
"127","Champaign, IL",169,0.574343410810649,75.17,"17019|17039|17053|17105|17113|17147","17","Illinois",6,1
"128","Decatur, IL",208,-0.314963917165537,42.01,"17021|17029|17035|17041|17049|17079|17115|17139|17173","17","Illinois",9,1
"129","Terre Haute, IN",220,-0.482018774522324,35.2,"17023|17045|18021|18121|18133|18153|18165|18167","17|18","Illinois|Indiana",8,2
"130","Olney, IL",149,-1.13467874703885,11.05,"17025|17047|17159|17191|17193","17","Illinois",5,1
"131","Centralia, IL",175,-0.824483313420186,20.75,"17027|17065|17081|17121|17189","17","Illinois",5,1
"132","Chicago, IL",392,2.41408449806443,97.62,"17031|17037|17043|17063|17089|17093|17097|17111|17197|55059|55101","17|55","Illinois|Wisconsin",11,2
"133","Vincennes, IN",147,-1.21896845566599,9.01,"17033|17101|18083","17|18","Illinois|Indiana",3,2
"134","Harrisburg, IL",128,-0.591609654382555,29.59,"17059|17069|17151|17165","17","Illinois",4,1
"135","Burlington, IA-IL",200,-0.629711698891841,27.55,"17067|17071|19057|19087|19111|29045","17|19|29","Illinois|Iowa|Missouri",6,3
"136","Davenport, IA-IL",241,-0.040281043748299,54.76,"17073|17095|17131|17161|17175|17187|19163","17|19","Illinois|Iowa",7,2
"137","Kankakee, IL",180,-0.242459586031773,45.58,"17075|17091","17","Illinois",2,1
"138","Dubuque, IA-IL",263,0.0703942323050247,58.33,"17085|19045|19055|19061|19097","17|19","Illinois|Iowa",5,2
"139","Paducah, KY-IL",242,-0.171648478548059,48.13,"17127|21007|21035|21039|21075|21083|21105|21139|21145|21157|47131|47183","17|21|47","Illinois|Kentucky|Tennessee",12,3
"140","St. Louis, MO",298,1.49819744057001,92.18,"17133|17163|29055|29071|29073|29099|29113|29139|29183|29189|29219|29510","17|29","Illinois|Missouri",12,2
"141","Lafayette, IN",217,-0.1183166097979,51.53,"17183|18007|18015|18023|18045|18107|18157|18171|18181","17|18","Illinois|Indiana",9,2
"142","Evansville, IN",267,-0.148039774943859,50.34,"17185|18027|18037|18051|18123|18125|18129|18147|18163|18173","17|18","Illinois|Indiana",10,2
"143","Fort Wayne, IN",336,0.40988421594387,71.09,"18001|18003|18033|18049|18069|18085|18113|18151|18169|18179|18183","18","Indiana",11,1
"144","Columbus, IN",165,-0.053634335794507,54.08,"18005|18013|18071|18079","18","Indiana",4,1
"145","Muncie, IN",217,-0.162406322498962,48.81,"18009|18035|18053|18075|18135","18","Indiana",5,1
"146","Indianapolis, IN",306,1.36021317933292,90.48,"18011|18057|18059|18063|18065|18067|18081|18095|18097|18109|18139|18145|18159","18","Indiana",13,1
"147","Logansport, IN",156,-0.77969674988375,21.43,"18017|18103|18131","18","Indiana",3,1
"148","Louisville/Jefferson County, KY-IN",308,1.26156958670242,88.1,"18019|18025|18043|18061|18143|18175|21029|21103|21111|21185|21211|21215","18|21","Indiana|Kentucky",12,2
"149","Greendale--Lawrenceburg--Hidden Valley, IN-OH",187,-0.401890147912222,38.44,"18029|18077|18115|18155|21041|21223","18|21","Indiana|Kentucky",6,2
"150","Greensburg, IN",171,-0.723928807799822,24.32,"18031|18047|18137","18","Indiana",3,1
"151","South Bend, IN-MI",298,0.320614266284075,68.2,"18039|18087|18099|18141|18149|26021|26027|26149","18|26","Indiana|Michigan",8,2
"152","Richmond, IN-OH",182,-0.340812237923496,39.97,"18041|18161|18177","18","Indiana",3,1
"153","Bloomington, IN",173,0.247959462943563,65.48,"18055|18093|18101|18105|18117|18119","18","Indiana",6,1
"154","Hammond, IN",293,0.238135968157884,64.8,"18073|18089|18091|18111|18127","18","Indiana",5,1
"155","Des Moines, IA",264,1.19070143690817,87.41,"19001|19049|19077|19099|19121|19153|19157|19181","19","Iowa",8,1
"156","Creston, IA",137,-1.2723633080491,7.48,"19003|19071|19137|19145|19159|19173|19175","19","Iowa",7,1
"157","Platteville, WI",168,-1.08194939520662,12.93,"19005|19043|55023|55043","19|55","Iowa|Wisconsin",4,2
"158","Ottumwa, IA",198,-0.688262567691106,25.85,"19007|19051|19101|19107|19123|19125|19135|19177|19179","19","Iowa",9,1
"159","Denison, IA",147,-0.955477778421799,16.16,"19009|19029|19047|19165","19","Iowa",4,1
"160","Cedar Rapids, IA",221,0.348527868805607,69.39,"19011|19031|19095|19103|19105|19113|19115|19139|19183","19","Iowa",9,1
"161","Waterloo, IA",208,-0.549195431297419,32.48,"19013|19017|19019|19023|19065|19075|19127|19171","19","Iowa",8,1
"162","Ames, IA",157,-0.325132055838922,40.82,"19015|19027|19073|19079|19169","19","Iowa",5,1
"163","Storm Lake, IA",131,-1.42159632404559,4.76,"19021|19035|19093|19151|19161","19","Iowa",5,1
"164","Fort Dodge, IA",167,-0.858300717600431,19.39,"19025|19091|19109|19187","19","Iowa",4,1
"165","Mason, IA",192,-0.721729675871885,24.66,"19033|19067|19081|19131|19189|19195|27043|27047|27099","19|27","Iowa|Minnesota",9,2
"166","Decorah, IA",137,-0.751936837170622,23.13,"19037|19089|19191","19","Iowa",3,1
"167","Osceola, IA",121,-1.2298447436549,8.5,"19039|19053|19117|19185","19","Iowa",4,1
"168","Spirit Lake, IA",177,-0.727710113220019,23.81,"19041|19059|19063|19147","19","Iowa",4,1
"169","Iowa Falls, IA",115,-1.29415797266718,7.14,"19069|19083|19197","19","Iowa",3,1
"170","Omaha, NE-IA",271,1.08298928097357,85.37,"19085|19129|19155|31021|31025|31039|31053|31055|31153|31177","19|31","Iowa|Nebraska",10,2
"171","Sioux Center, IA",149,-0.810847107126516,21.09,"19119|19141|19143|19167","19","Iowa",4,1
"172","Sioux, IA-NE-SD",197,-0.528649016863956,33.16,"19133|19149|19193|31043|31173|46127","19|31|46","Iowa|Nebraska|South Dakota",6,3
"173","Parsons, KS",138,-1.06288909822496,13.61,"20001|20099|20133|20207","20","Kansas",4,1
"174","Kansas, MO-KS",320,1.50042274110618,92.35,"20003|20059|20091|20103|20107|20121|20209|29013|29037|29047|29095|29107|29165|29177","20|29","Kansas|Missouri",14,2
"175","St. Joseph, MO-KS",193,-0.417152599062726,37.93,"20005|20043|29003|29021|29025|29049|29063|29087","20|29","Kansas|Missouri",8,2
"176","Pratt, KS",90,-1.8616231596766,0.68,"20007|20033|20097|20151","20","Kansas",4,1
"177","Great Bend, KS",137,-0.92684592731549,17.18,"20009|20145|20185","20","Kansas",3,1
"178","Joplin, MO",239,-0.219730385590947,47.11,"20011|20021|20037|29011|29097|29145","20|29","Kansas|Missouri",6,2
"179","Falls, NE",117,-1.49331247261769,3.91,"20013|20131|31133|31147","20|31","Kansas|Nebraska",4,2
"180","Wichita, KS",256,0.332958588883566,68.37,"20015|20035|20077|20095|20173|20191","20","Kansas",6,1
"181","Emporia, KS",126,-1.1569822362237,9.86,"20017|20031|20073|20111","20","Kansas",4,1
"182","Bartlesville, OK",164,-0.870643914753596,18.71,"20019|20049|20125|20205|40105|40147","20|40","Kansas|Oklahoma",6,2
"183","Atwood, KS",77,-1.5475822860714,2.89,"20023|20153","20","Kansas",2,1
"184","Dodge, KS",121,-0.926358078008128,17.35,"20025|20047|20057|20069|20083","20","Kansas",5,1
"185","Manhattan, KS",142,-0.36979955619836,39.29,"20027|20041|20061|20127|20149|20161","20","Kansas",6,1
"186","Concordia, KS",130,-1.14433681946923,10.54,"20029|20117|20157|20201","20","Kansas",4,1
"187","Norton, KS",98,-1.48958369630985,4.08,"20039|20137|20147","20","Kansas",3,1
"188","Topeka, KS",192,0.708500597276438,79.25,"20045|20085|20087|20139|20177|20197","20","Kansas",6,1
"189","Hays, KS",161,-0.954020135960761,16.5,"20051|20065|20163|20165|20167|20195","20","Kansas",6,1
"190","Salina, KS",158,-0.431329679797768,37.59,"20053|20105|20143|20169","20","Kansas",4,1
