"industry_code","industry_description","industry_employment_share_nation"
"325315","Compost Manufacturing",7.0730167771499e-06
"325320","Pesticide and Other Agricultural Chemical Manufacturing",8.15662818769623e-05
"325411","Medicinal and Botanical Manufacturing",0.00026058301712799
"325412","Pharmaceutical Preparation Manufacturing",0.00133259536853125
"325413","In-Vitro Diagnostic Substance Manufacturing",0.000163144036611633
"325414","Biological Product (except Diagnostic) Manufacturing",0.000267782235339931
"325510","Paint and Coating Manufacturing",0.000246741014302959
"325520","Adhesive Manufacturing",0.000138437237536868
"325611","Soap and Other Detergent Manufacturing",0.000166620312497239
"325612","Polish and Other Sanitation Good Manufacturing",0.000152021101063463
"325613","Surface Active Agent Manufacturing",2.7466021353604e-05
"325620","Toilet Preparation Manufacturing",0.000328370396897317
"325910","Printing Ink Manufacturing",4.37746885859132e-05
"325920","Explosives Manufacturing",4.08548462991578e-05
"325991","Custom Compounding of Purchased Resins",9.91484363148896e-05
"325992","Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",3.52102003066878e-05
"325998","All Other Miscellaneous Chemical Product and Preparation Manufacturing",0.000249551864441486
"326111","Plastics Bag and Pouch Manufacturing",0.000226921652611919
"326112","Plastics Packaging Film and Sheet (including Laminated) Manufacturing",0.000140760491222793
"326113","Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing",0.000207584150944626
"326121","Unlaminated Plastics Profile Shape Manufacturing",0.000128369804897859
"326122","Plastics Pipe and Pipe Fitting Manufacturing",0.000186445410617134
"326130","Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",0.000116547025029485
"326140","Polystyrene Foam Product Manufacturing",0.00016841007829973
"326150","Urethane and Other Foam Product (except Polystyrene) Manufacturing",0.000214255617701986
"326160","Plastics Bottle Manufacturing",0.000200230049153623
"326191","Plastics Plumbing Fixture Manufacturing",8.64307735452697e-05
"326199","All Other Plastics Product Manufacturing",0.00172029191263804
"326211","Tire Manufacturing (except Retreading)",0.000295328566697493
"326212","Tire Retreading",3.73957797001137e-05
"326220","Rubber and Plastics Hoses and Belting Manufacturing",0.000132241894374401
"326291","Rubber Product Manufacturing for Mechanical Use",0.000158256599227909
"326299","All Other Rubber Product Manufacturing",0.000141833203418517
"327110","Pottery, Ceramics, and Plumbing Fixture Manufacturing",9.63375861763629e-05
"327120","Clay Building Material and Refractories Manufacturing",0.000127377402706094
"327211","Flat Glass Manufacturing",6.74604033246414e-05
"327212","Other Pressed and Blown Glass and Glassware Manufacturing",6.99672227338989e-05
"327213","Glass Container Manufacturing",6.49249017711132e-05
"327215","Glass Product Manufacturing Made of Purchased Glass",0.00027094300763856
"327310","Cement Manufacturing",8.81287564860941e-05
"327320","Ready-Mix Concrete Manufacturing",0.0006184845497664
"327331","Concrete Block and Brick Manufacturing",0.000108521761062548
"327332","Concrete Pipe Manufacturing",5.7628164268652e-05
"327390","Other Concrete Product Manufacturing",0.000331083727745324
"327410","Lime Manufacturing",2.44085047743494e-05
"327420","Gypsum Product Manufacturing",7.09883070699352e-05
"327910","Abrasive Product Manufacturing",5.7501962833861e-05
"327991","Cut Stone and Stone Product Manufacturing",0.000211060426830232
"327992","Ground or Treated Mineral and Earth Manufacturing",3.94207390856238e-05
"327993","Mineral Wool Manufacturing",0.000101001302834776
"327999","All Other Miscellaneous Nonmetallic Mineral Product Manufacturing",7.42293893725221e-05
"331110","Iron and Steel Mills and Ferroalloy Manufacturing",0.000493384509315398
"331210","Iron and Steel Pipe and Tube Manufacturing from Purchased Steel",0.000160258612898002
"331221","Rolled Steel Shape Manufacturing",0.000125926086205997
"331222","Steel Wire Drawing",5.96990150849952e-05
"331313","Alumina Refining and Primary Aluminum Production",4.47269357756998e-05
"331314","Secondary Smelting and Alloying of Aluminum",3.28181094745131e-05
"331315","Aluminum Sheet, Plate, and Foil Manufacturing",0.000108378350341195
"331318","Other Aluminum Rolling, Drawing, and Extruding",0.000155554741237611
"331410","Nonferrous Metal (except Aluminum) Smelting and Refining",4.70903444636039e-05
"331420","Copper Rolling, Drawing, Extruding, and Alloying",0.000165237833143393
"331491","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",8.91268951067138e-05
"331492","Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",6.0112037962493e-05
"331511","Iron Foundries",0.000190644476538362
"331512","Steel Investment Foundries",6.33531202650799e-05
"331513","Steel Foundries (except Investment)",6.35596317038288e-05
"331523","Nonferrous Metal Die-Casting Foundries",0.000119604541608739
"331524","Aluminum Foundries (except Die-Casting)",8.85417793635919e-05
"331529","Other Nonferrous Metal Foundries (except Die-Casting)",7.61109380366788e-05
"332111","Iron and Steel Forging",0.000116816637185629
"332112","Nonferrous Forging",3.95641498069772e-05
"332114","Custom Roll Forming",3.46595031366908e-05
"332117","Powder Metallurgy Part Manufacturing",4.69010423114174e-05
"332119","Metal Crown, Closure, and Other Metal Stamping (except Automotive)",0.000274648740678332
"332215","Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",5.58039798930367e-05
"332216","Saw Blade and Handtool Manufacturing",0.00014785645371536
"332311","Prefabricated Metal Building and Component Manufacturing",0.000219567550820916
"332312","Fabricated Structural Metal Manufacturing",0.000578054199202448
"332313","Plate Work Manufacturing",0.000282524857495061
"332321","Metal Window and Door Manufacturing",0.000392348787907498
"332322","Sheet Metal Work Manufacturing",0.000671385896659244
"332323","Ornamental and Architectural Metal Work Manufacturing",0.00026456409875276
"332410","Power Boiler and Heat Exchanger Manufacturing",0.000130716004299201
"332420","Metal Tank (Heavy Gauge) Manufacturing",0.000222630803829025
"332431","Metal Can Manufacturing",0.000124405932559651
"332439","Other Metal Container Manufacturing",8.41304655747611e-05
"332510","Hardware Manufacturing",0.000131828871496903
"332613","Spring Manufacturing",8.90580579604641e-05
"332618","Other Fabricated Wire Product Manufacturing",0.000139624678309674
"332710","Machine Shops",0.00153859052868328
"332721","Precision Turned Product Manufacturing",0.000226674986171191
"332722","Bolt, Nut, Screw, Rivet, and Washer Manufacturing",0.000206195935161925
"332811","Metal Heat Treating",0.00010495943874413
"332812","Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",0.000344076739099942
"332813","Electroplating, Plating, Polishing, Anodizing, and Coloring",0.000306078634370144
"332911","Industrial Valve Manufacturing",0.000158445901380095
"332912","Fluid Power Valve and Hose Fitting Manufacturing",0.0002069244616264
"332913","Plumbing Fixture Fitting and Trim Manufacturing",6.630738112496e-05
"332919","Other Metal Valve and Pipe Fitting Manufacturing",8.55014720708997e-05
"332991","Ball and Roller Bearing Manufacturing",0.000115021134954284
"332992","Small Arms Ammunition Manufacturing",7.00073777358779e-05
"332993","Ammunition (except Small Arms) Manufacturing",0.000103301610805284
"332994","Small Arms, Ordnance, and Ordnance Accessories Manufacturing",0.000145366843592665
"332996","Fabricated Pipe and Pipe Fitting Manufacturing",0.000188246649277333
"332999","All Other Miscellaneous Fabricated Metal Product Manufacturing",0.000506928217840014
"333111","Farm Machinery and Equipment Manufacturing",0.000383313912462233
"333112","Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing",9.23106131207593e-05
"333120","Construction Machinery Manufacturing",0.000438205800167462
"333131","Mining Machinery and Equipment Manufacturing",5.56318870274126e-05
"333132","Oil and Gas Field Machinery and Equipment Manufacturing",0.000271688743389598
"333241","Food Product Machinery Manufacturing",0.000121348415980397
"333242","Semiconductor Machinery Manufacturing",0.000167228373955778
"333243","Sawmill, Woodworking, and Paper Machinery Manufacturing",7.33517157578393e-05
"333248","All Other Industrial Machinery Manufacturing",0.000408238695833455
"333310","Commercial and Service Industry Machinery Manufacturing",0.000512945731708003
"333413","Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing",0.000188923547882121
"333414","Heating Equipment (except Warm Air Furnaces) Manufacturing",8.95628636996281e-05
"333415","Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing",0.000567676999405316
"333511","Industrial Mold Manufacturing",0.000185206341984641
"333514","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",0.000295391667414888
"333515","Cutting Tool and Machine Tool Accessory Manufacturing",0.000121956477438935
"333517","Machine Tool Manufacturing",0.000243763807727663
"333519","Rolling Mill and Other Metalworking Machinery Manufacturing",6.58197846723585e-05
"333611","Turbine and Turbine Generator Set Units Manufacturing",0.000116088110721154
"333612","Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",6.48847467691343e-05
"333613","Mechanical Power Transmission Equipment Manufacturing",7.64207051948021e-05
"333618","Other Engine Equipment Manufacturing",0.000278130752992792
"333912","Air and Gas Compressor Manufacturing",0.000113959895616269
"333914","Measuring, Dispensing, and Other Pumping Equipment Manufacturing",0.000160981402933623
"333921","Elevator and Moving Stairway Manufacturing",6.66802490004789e-05
"333922","Conveyor and Conveying Equipment Manufacturing",0.00021204135616429
"333923","Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",9.124363735389e-05
"333924","Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",0.000189107113605453
"333991","Power-Driven Handtool Manufacturing",5.92917286363515e-05
"333992","Welding and Soldering Equipment Manufacturing",9.16050323717006e-05
"333993","Packaging Machinery Manufacturing",0.000140611344072586
"333994","Industrial Process Furnace and Oven Manufacturing",5.7077467098655e-05
"333995","Fluid Power Cylinder and Actuator Manufacturing",9.16509238025337e-05
"333996","Fluid Power Pump and Motor Manufacturing",0.000106032150939853
"333998","All Other Miscellaneous General Purpose Machinery Manufacturing",0.00027894532589008
"334111","Electronic Computer Manufacturing",0.000356019983974253
"334112","Computer Storage Device Manufacturing",7.95470589203063e-05
"334118","Computer Terminal and Other Computer Peripheral Equipment Manufacturing",0.000175787125806149
"334210","Telephone Apparatus Manufacturing",7.85948117305197e-05
"334220","Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",0.000292661127280319
"334290","Other Communications Equipment Manufacturing",0.000105928895220479
"334310","Audio and Video Equipment Manufacturing",0.000110661449025141
"334412","Bare Printed Circuit Board Manufacturing",0.000157637064911662
"334413","Semiconductor and Related Device Manufacturing",0.00117896806738863
"334416","Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",9.84944834255181e-05
"334417","Electronic Connector Manufacturing",0.000133222823708459
"334418","Printed Circuit Assembly (Electronic Assembly) Manufacturing",0.000346245109206805
"334419","Other Electronic Component Manufacturing",0.000373625084127597
"334510","Electromedical and Electrotherapeutic Apparatus Manufacturing",0.000427226275340646
"334511","Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",0.000706257647663538
"334512","Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",7.52447372797042e-05
"334513","Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables",0.000329374271946791
"334514","Totalizing Fluid Meter and Counting Device Manufacturing",5.19089447010782e-05
"334515","Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals",0.000209368180318262
"334516","Analytical Laboratory Instrument Manufacturing",0.000257514027691027
"334517","Irradiation Apparatus Manufacturing",7.70803945130278e-05
"334519","Other Measuring and Controlling Device Manufacturing",0.000236094202349683
"334610","Manufacturing and Reproducing Magnetic and Optical Media",6.70186983028729e-05
"335131","Residential Electric Lighting Fixture Manufacturing",3.86520576191695e-05
"335132","Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing",0.000105963313793603
"335139","Electric Lamp Bulb and Other Lighting Equipment Manufacturing",6.71219540222474e-05
"335210","Small Electrical Appliance Manufacturing",5.98424258063486e-05
"335220","Major Household Appliance Manufacturing",0.000289075859246484
"335311","Power, Distribution, and Specialty Transformer Manufacturing",0.000194912379605839
"335312","Motor and Generator Manufacturing",0.000209890195343989
"335313","Switchgear and Switchboard Apparatus Manufacturing",0.00025689449337478
"335314","Relay and Industrial Control Manufacturing",0.000249282252285342
"335910","Battery Manufacturing",0.000321630092993707
"335921","Fiber Optic Cable Manufacturing",6.98410212991079e-05
"335929","Other Communication and Energy Wire Manufacturing",7.52160551354335e-05
"335931","Current-Carrying Wiring Device Manufacturing",0.000169218914768163
"335932","Noncurrent-Carrying Wiring Device Manufacturing",6.67318768601661e-05
"335991","Carbon and Graphite Product Manufacturing",5.9693278656141e-05
"335999","All Other Miscellaneous Electrical Equipment and Component Manufacturing",0.000219395457955292
"336110","Automobile and Light Duty Motor Vehicle Manufacturing",0.00145571634102757
"336120","Heavy Duty Truck Manufacturing",0.0002296005648868
"336211","Motor Vehicle Body Manufacturing",0.000359324166994236
"336212","Truck Trailer Manufacturing",0.000242960707688084
"336213","Motor Home Manufacturing",9.45879753758514e-05
"336214","Travel Trailer and Camper Manufacturing",0.000255282556866768
"336310","Motor Vehicle Gasoline Engine and Engine Parts Manufacturing",0.000335896591553944
"336320","Motor Vehicle Electrical and Electronic Equipment Manufacturing",0.000352165103784274
"336330","Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing",0.00018401316478298
"336340","Motor Vehicle Brake System Manufacturing",0.000118933379432805
"336350","Motor Vehicle Transmission and Power Train Parts Manufacturing",0.000452977104466863
"336360","Motor Vehicle Seating and Interior Trim Manufacturing",0.000434683632851023
"336370","Motor Vehicle Metal Stamping",0.000477339717810379
"336390","Other Motor Vehicle Parts Manufacturing",0.000890660889608599
"336411","Aircraft Manufacturing",0.00146734408231491
"336412","Aircraft Engine and Engine Parts Manufacturing",0.000529937033973954
"336413","Other Aircraft Parts and Auxiliary Equipment Manufacturing",0.000605204716969075
"336414","Guided Missile and Space Vehicle Manufacturing",0.000468385152369073
"336415","Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing",0.000112996175568774
"336419","Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing",5.36700283592981e-05
"336510","Railroad Rolling Stock Manufacturing",0.000130469337858473
"336611","Ship Building and Repairing",0.000623440824296374
"336612","Boat Building",0.000256039765475514
"336991","Motorcycle, Bicycle, and Parts Manufacturing",5.91081629130192e-05
"336992","Military Armored Vehicle, Tank, and Tank Component Manufacturing",4.99126674598389e-05
"336999","All Other Transportation Equipment Manufacturing",0.000122214616737371
"337110","Wood Kitchen Cabinet and Countertop Manufacturing",0.000730689098153304
"337121","Upholstered Household Furniture Manufacturing",0.000275216647134891
"337122","Nonupholstered Wood Household Furniture Manufacturing",0.0001716282148869
"337126","Household Furniture (except Wood and Upholstered) Manufacturing",5.86148300315634e-05
"337127","Institutional Furniture Manufacturing",0.000137421889629686
"337211","Wood Office Furniture Manufacturing",8.72281371559947e-05
"337212","Custom Architectural Woodwork and Millwork Manufacturing",0.000169545891212849
"337214","Office Furniture (except Wood) Manufacturing",0.000108303776766091
"337215","Showcase, Partition, Shelving, and Locker Manufacturing",0.000223864136032664
"337910","Mattress Manufacturing",0.000114493383499704
"337920","Blind and Shade Manufacturing",5.21900297149309e-05
"339112","Surgical and Medical Instrument Manufacturing",0.00081724033670451
"339113","Surgical Appliance and Supplies Manufacturing",0.000588746902586558
"339114","Dental Equipment and Supplies Manufacturing",9.77085926725015e-05
"339115","Ophthalmic Goods Manufacturing",0.00013942390329978
"339116","Dental Laboratories",0.000283849972560366
"339910","Jewelry and Silverware Manufacturing",0.000152531643231481
"339920","Sporting and Athletic Goods Manufacturing",0.000285157878339109
"339930","Doll, Toy, and Game Manufacturing",8.06886082622794e-05
"339940","Office Supplies (except Paper) Manufacturing",6.08749830000931e-05
"339950","Sign Manufacturing",0.000516404798307047
"339991","Gasket, Packing, and Sealing Device Manufacturing",0.000166270390337137
"339992","Musical Instrument Manufacturing",7.48087686867899e-05
"339993","Fastener, Button, Needle, and Pin Manufacturing",2.99212129031743e-05
"339994","Broom, Brush, and Mop Manufacturing",4.58283301156939e-05
"339995","Burial Casket Manufacturing",1.87753316395877e-05
"339999","All Other Miscellaneous Manufacturing",0.000458965936190581
"423110","Automobile and Other Motor Vehicle Merchant Wholesalers",0.000815582508765665
"423120","Motor Vehicle Supplies and New Parts Merchant Wholesalers",0.00105776879855844
"423130","Tire and Tube Merchant Wholesalers",0.000202203380679446
