industry_code,industry_description,industry_employment_share_nation
321113,Sawmills,4.699856160193768e-4
321114,Wood Preservation,6.635900898464727e-5
321211,Hardwood Veneer and Plywood Manufacturing,7.491776083501844e-5
321212,Softwood Veneer and Plywood Manufacturing,8.522612348590115e-5
321215,Engineered Wood Member Manufacturing,2.29204751295865e-4
321219,Reconstituted Wood Product Manufacturing,8.214566119123003e-5
321911,Wood Window and Door Manufacturing,3.31232874895531e-4
321912,"Cut Stock, Resawing Lumber, and Planing",7.645512376792694e-5
321918,Other Millwork (including Flooring),2.1076213252981722e-4
321920,Wood Container and Pallet Manufacturing,3.993816496826688e-4
321991,Manufactured Home (Mobile Home) Manufacturing,1.7872991380832082e-4
321992,Prefabricated Wood Building Manufacturing,1.0904377608827456e-4
321999,All Other Miscellaneous Wood Product Manufacturing,2.0311547286725368e-4
322110,Pulp Mills,2.6238425578818864e-5
322120,Paper Mills,2.895347735548152e-4
322130,Paperboard Mills,1.8880881930503806e-4
322211,Corrugated and Solid Fiber Box Manufacturing,6.080958771115594e-4
322212,Folding Paperboard Box Manufacturing,1.6644821963161525e-4
322219,Other Paperboard Container Manufacturing,1.501854438301392e-4
322220,Paper Bag and Coated and Treated Paper Manufacturing,3.133868447303134e-4
322230,Stationery Product Manufacturing,7.595031802876295e-5
322291,Sanitary Paper Product Manufacturing,1.6512884099516393e-4
322299,All Other Converted Paper Product Manufacturing,1.028197507815368e-4
323111,Commercial Printing (except Screen and Books),0.0015173427962075596
323113,Commercial Screen Printing,4.6085895771244616e-4
323117,Books Printing,7.555450443782756e-5
323120,Support Activities for Printing,9.54771218482425e-5
324110,Petroleum Refineries,3.719213647579189e-4
324121,Asphalt Paving Mixture and Block Manufacturing,1.0272223149101648e-4
324122,Asphalt Shingle and Coating Materials Manufacturing,7.890457888864309e-5
324191,Petroleum Lubricating Oil and Grease Manufacturing,6.383498028882735e-5
324199,All Other Petroleum and Coal Products Manufacturing,2.6691603458295625e-5
325110,Petrochemical Manufacturing,1.5122373745273784e-4
325120,Industrial Gas Manufacturing,1.2678655053411774e-4
325130,Synthetic Dye and Pigment Manufacturing,5.582692560845326e-5
325180,Other Basic Inorganic Chemical Manufacturing,2.394155946562274e-4
325193,Ethyl Alcohol Manufacturing,6.142568017009016e-5
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",1.8557347343130527e-5
325199,All Other Basic Organic Chemical Manufacturing,2.4211171621767142e-4
325211,Plastics Material and Resin Manufacturing,3.5728773475101754e-4
325212,Synthetic Rubber Manufacturing,5.465669412220948e-5
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,1.3937227544009252e-4
325311,Nitrogenous Fertilizer Manufacturing,5.174832469316244e-5
325312,Phosphatic Fertilizer Manufacturing,3.3678573802633485e-5
325314,Fertilizer (Mixing Only) Manufacturing,4.335019285070707e-5
325315,Compost Manufacturing,7.073016777149904e-6
325320,Pesticide and Other Agricultural Chemical Manufacturing,8.156628187696228e-5
325411,Medicinal and Botanical Manufacturing,2.605830171279899e-4
325412,Pharmaceutical Preparation Manufacturing,0.00133259536853125
325413,In-Vitro Diagnostic Substance Manufacturing,1.6314403661163283e-4
325414,Biological Product (except Diagnostic) Manufacturing,2.677822353399308e-4
325510,Paint and Coating Manufacturing,2.467410143029593e-4
325520,Adhesive Manufacturing,1.384372375368683e-4
325611,Soap and Other Detergent Manufacturing,1.6662031249723935e-4
325612,Polish and Other Sanitation Good Manufacturing,1.520211010634628e-4
325613,Surface Active Agent Manufacturing,2.7466021353604006e-5
325620,Toilet Preparation Manufacturing,3.2837039689731707e-4
325910,Printing Ink Manufacturing,4.3774688585913154e-5
325920,Explosives Manufacturing,4.085484629915784e-5
325991,Custom Compounding of Purchased Resins,9.914843631488965e-5
325992,"Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing",3.5210200306687845e-5
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,2.4955186444148604e-4
326111,Plastics Bag and Pouch Manufacturing,2.2692165261191882e-4
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,1.4076049122279345e-4
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,2.0758415094462577e-4
326121,Unlaminated Plastics Profile Shape Manufacturing,1.2836980489785933e-4
326122,Plastics Pipe and Pipe Fitting Manufacturing,1.8644541061713397e-4
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",1.1654702502948468e-4
326140,Polystyrene Foam Product Manufacturing,1.6841007829972984e-4
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,2.1425561770198613e-4
326160,Plastics Bottle Manufacturing,2.002300491536232e-4
326191,Plastics Plumbing Fixture Manufacturing,8.643077354526975e-5
326199,All Other Plastics Product Manufacturing,0.0017202919126380434
326211,Tire Manufacturing (except Retreading),2.953285666974927e-4
326212,Tire Retreading,3.739577970011373e-5
326220,Rubber and Plastics Hoses and Belting Manufacturing,1.3224189437440124e-4
326291,Rubber Product Manufacturing for Mechanical Use,1.582565992279088e-4
326299,All Other Rubber Product Manufacturing,1.4183320341851693e-4
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",9.633758617636292e-5
327120,Clay Building Material and Refractories Manufacturing,1.2737740270609376e-4
327211,Flat Glass Manufacturing,6.746040332464142e-5
327212,Other Pressed and Blown Glass and Glassware Manufacturing,6.996722273389893e-5
327213,Glass Container Manufacturing,6.492490177111323e-5
327215,Glass Product Manufacturing Made of Purchased Glass,2.709430076385598e-4
327310,Cement Manufacturing,8.812875648609406e-5
327320,Ready-Mix Concrete Manufacturing,6.184845497664e-4
327331,Concrete Block and Brick Manufacturing,1.0852176106254816e-4
327332,Concrete Pipe Manufacturing,5.762816426865202e-5
327390,Other Concrete Product Manufacturing,3.310837277453235e-4
327410,Lime Manufacturing,2.4408504774349426e-5
327420,Gypsum Product Manufacturing,7.098830706993517e-5
327910,Abrasive Product Manufacturing,5.750196283386102e-5
327991,Cut Stone and Stone Product Manufacturing,2.110604268302323e-4
327992,Ground or Treated Mineral and Earth Manufacturing,3.9420739085623796e-5
327993,Mineral Wool Manufacturing,1.0100130283477564e-4
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,7.422938937252211e-5
331110,Iron and Steel Mills and Ferroalloy Manufacturing,4.933845093153983e-4
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,0.00016025861289800233
331221,Rolled Steel Shape Manufacturing,1.259260862059973e-4
331222,Steel Wire Drawing,5.9699015084995175e-5
331313,Alumina Refining and Primary Aluminum Production,4.472693577569976e-5
331314,Secondary Smelting and Alloying of Aluminum,3.2818109474513056e-5
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",1.0837835034119476e-4
331318,"Other Aluminum Rolling, Drawing, and Extruding",1.5555474123761067e-4
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,4.709034446360386e-5
331420,"Copper Rolling, Drawing, Extruding, and Alloying",1.6523783314339254e-4
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding",8.912689510671375e-5
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)",6.011203796249298e-5
331511,Iron Foundries,1.9064447653836165e-4
331512,Steel Investment Foundries,6.335312026507992e-5
331513,Steel Foundries (except Investment),6.355963170382882e-5
